path	status	priority	upstream_revision	notes
404.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/apps-featured.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/arb_manager/arb_manager.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/bode/bode.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/impedance/impedance.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/lcr_meter/lcr_meter.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/logic/logic.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/marketplace/Lock-in.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/marketplace/PyRPL.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/marketplace/daq_server.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/marketplace/dsp.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/marketplace/epics.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/marketplace/freq_res_anal/freq_res_anal.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/marketplace/impedance_anal/impedance.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/marketplace/linien.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/marketplace/lti.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/marketplace/marketplace.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/marketplace/multi_pulse_anal.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/marketplace/ocra.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/marketplace/power_anal/power_anal.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/marketplace/qt.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/marketplace/radar.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/marketplace/radiobox.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/marketplace/sdr.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/marketplace/tesla.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/marketplace/vna.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/marketplace/wspr.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/oscSigGen/osc.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/playback&record/playback&record.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/pyrpl/pyrpl.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/sdr_tx_rx/sdr_tx_rx.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/spectrum/spectrum.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/streaming/advanced/advanced_top.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/streaming/advanced/multiboard.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/streaming/configuration/adc_config.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/streaming/configuration/advanced_config.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/streaming/configuration/configuration_top.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/streaming/configuration/dac_config.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/streaming/configuration/memory_config.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/streaming/reference/limitations.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/streaming/reference/performance_optimization.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/streaming/reference/reference_top.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/streaming/reference/technical_details.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/streaming/top.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/streaming/usage/stream_command_line.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/streaming/usage/stream_desktop_api.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/streaming/usage/stream_local.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/streaming/usage/stream_raspberry_linux.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/streaming/usage/stream_redpitaya_linux.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/streaming/usage/usage_top.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/streaming/usage/web_interface.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/applications/vna/appVNA.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/appsFeatures.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/command_line_tools/com_line_tool.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
appsFeatures/command_line_tools/utils/acquire_util.rst	done	3	2bb2c8e3bfae2c99653348c5815c8c8adaab9a66	首批
